top_kb_index;second_kb_index;emoji;name;link;next_kb;description
1;1;:laptop:;Ноутбук во временное пользование;https://old.mipt.ru/it/services/prezentatsionnoe_oborudovanie_/predostavlenie_noutbuka_vo_vremennoe_polzovanie_sotrudniku_mfti_po_sluzhebnoy_neobkhodimosti;False;None
1;2;:open_file_folder:;Доступ к сетевым папкам;https://old.mipt.ru/it/services/setevye-papki/poluchenie-dostupa-k-setevym-papkam;False;None
1;3;:gear:;Поддержка рабочих мест, настройка удаленки;https://old.mipt.ru/it/support/tekhpodderzhka-rabochikh-mest;False;None
1;-1;:SOS_button:;Другой вопрос;None;False;None
2;1;:man_pouting_light_skin_tone:;ИС УОП, 1С:БГУ 2.0, 1С:ЗКГУ 3.0, 1С:ФПЗ;https://old.mipt.ru/it/services/dostup_k_it_servisam/1s_podklyuchenie_novogo_polzovatelya_vosstanovlenie_dostupa;False;None
2;2;:card_file_box:;1С: Документооборот;https://old.mipt.ru/it/services/dostup_k_it_servisam/1s_dokumentooborot_podklyuchenie_novogo_polzovatelya_vosstanovlenie_dostupa;False;None
2;3;:ledger:;Отчет в ИС УОП на основе сведений из СКУД;https://old.mipt.ru/it/services/dostup_k_it_servisam/otchet_v_is_uop_na_osnove_svedeniy_iz_skud;False;None
2;4;:locked_with_key:;1С: Охрана Труда;https://old.mipt.ru/it/services/dostup_k_it_servisam/1s_proizvodstvennaya_bezopasnost_okhrana_truda_podklyuchenie_novogo_polzovatelya_vosstanovlenie_dost;False;None
2;5;:gear:;Техподдержка 1С;https://old.mipt.ru/it/support/tekhpodderzhka-1s;False;None
2;6;:orange_book:;Инструкции 1С;None;False;"Инструкции по работе в ИС УОП размещены: https://cloud.mipt.ru/index.php/s/iUKvaWBJyrsvYb8?path=%2F
Инструкции по работе в 1С: Документооборот размещены в самой системе, путь: Документы и файлы – Внутренние документы – Инструкции – Название раздела соответствует функционалу в системе."
2;-1;:SOS_button:;Другой вопрос;None;False;None
3;1;:man_office_worker_light_skin_tone:;Корпоративный аккаунт;None;True;None
3;2;:e-mail:;Почта;None;True;None
3;3;:closed_mailbox_with_lowered_flag:;Сервисы рассылок;None;True;None
4;1;:man_pouting_light_skin_tone:;Личный кабинет ;https://profile.mipt.ru;False;None
4;2;:dollar_banknote:;Доступ к данным ФЛС;https://old.mipt.ru/it/services/dostup_k_it_servisam/dostup_k_dannym_finansovo_litsevykh_schetov;False;None
4;3;:page_facing_up:;Заказ 2-НДФЛ;https://old.mipt.ru/it/services/dostup_k_it_servisam/zakaz_spravki_2_ndfl_v_lichnom_kabinete_na_mipt_ru;False;None
4;4;:office_building:;Мое подразделение;https://old.mipt.ru/it/services/dostup_k_it_servisam/moe_podrazdelenie_v_lichnom_kabinete_na_mipt_ru;False;None
4;5;:gear:;Управление курсами МФТИ;https://old.mipt.ru/it/services/dostup_k_it_servisam/informatsionnaya_sistema_upravlenie_kursami_mfti_podklyuchenie_novogo_polzovatelya_izmenenie_prav_do;False;None
4;6;:closed_mailbox_with_lowered_flag:;Сервис рассылок;https://old.mipt.ru/it/services/pochtovye-servisy/polucheniye_pochtovogo_akkaunta_v_domene_mipt_ru/servis_korporativnykh_rassylok_v_lichnom_kabinete;False;None
4;-1;:SOS_button:;Другой вопрос;None;False;None
5;1;:globe_with_meridians:;Доступ в Интернет;None;True;None
5;2;:telephone:;Телефон;None;True;None
6;1;:bellhop_bell:;Трудоустройство в МФТИ;None;True;None
6;2;:man_pouting_light_skin_tone:;Личный кабинет и сервисы;None;True;None
6;3;:red_circle:;Яндекс Телемост, Антиплагиат, Redmine;None;True;None
6;4;:red_exclamation_mark:;Впервые в МФТИ;https://mipt.ru/it/first_time/;False;None
6;5;:high_voltage:;Полезные ссылки;None;True;None
7;1;:globe_with_meridians:;Виртуальный сервер;https://old.mipt.ru/it/services/servisy-tsod/vydelenie-virtualnogo-servera;False;None
7;2;:laptop:;Физическое размещение оборудования;https://old.mipt.ru/it/services/servisy-tsod/fizicheskoe-razmeshchenie-oborudovaniya;False;None
7;3;:left_arrow_curving_right:;Переадресация запросов с доменного имени *.old.mipt.ru;https://old.mipt.ru/it/services/servisy-tsod/pereadresatsiya_zaprosov_s_domennogo_imeni_mipt_ru_na_vneshnie_resursy;False;None
7;4;:gear:;Вычислительные ресурсы ЦОД;https://old.mipt.ru/it/services/servisy-tsod/dostup-k-vichislitelnym-resursam-tsod;False;None
7;5;:gear:;Вычислительные ресурсы ЦОД для участников «Физтех.Идея»;https://old.mipt.ru/it/services/servisy-tsod/vydelenie_vychislitelnykh_resursov_tsod_dlya_uchastnikov_akseleratsionnoy_programmy_fiztekh_ideya;False;None
7;6;:man_technologist_medium_skin_tone:;Техподдержка центра обработки данных (ЦОД);https://old.mipt.ru/it/support/tekhpodderzhka-tsod;False;None
7;7;:clipboard:;Регистрация домена 3-го уровня в зоне old.mipt.ru;https://old.mipt.ru/it/services/dostup-k-korporativnoy-seti-i-internet-mfti/registratsiya-domena-3-go-urovnya-v-zone-mipt-ru;False;None
7;-1;:SOS_button:;Другой вопрос;None;False;None
8;1;:credit_card:;Подключение онлайн-платежей;https://old.mipt.ru/it/services/dostup_k_it_servisam/podklyuchenie_onlayn_platezhey_k_edinomu_serveru_oplat;False;None
8;-1;:SOS_button:;Другой вопрос;None;False;None
9;1;:movie_camera:;Проекционное оборудование;https://old.mipt.ru/it/services/prezentatsionnoe_oborudovanie_/auditorii_s_prezentatsionnym_oborudovaniem7230;False;None
9;2;:hammer_and_wrench:;Мультимедийная трибуна лектора;https://old.mipt.ru/it/services/prezentatsionnoe_oborudovanie_/prezentatsionnoe_oborudovanie_tribuna_lektora_v_potochnykh_auditoriyakh;False;None
